"","Tweets","471","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Missing","12","28.02.2019, 18.05.2019, 27.07.2019, 28.07.2019, 29.07.2019, 30.07.2019, 10.08.2019, 25.08.2019, 11.11.2019, 08.12.2019, 20.03.2020, 06.04.2020","","","","","","","","","","","","","","","","","","","","","","","",""
"","Unbenannte","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Benannte","466","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Überprüfte","464","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Unüberprüfte","2","<= ohne Unbenannte!","","","","","","","","","","","","","","","","","","","","","","","",""
"TwitterID","TwitterLink","Datum","TweetText","BildLink","Bild","Name","Geprüft (von einer zweiten Person)","Link zur Prüfung (wenn nötig/hilfreich)","","","","","","","","","","","","","","","","","","",""
"1076716154125721600","https://twitter.com/datGestruepp/status/1076716154125721600","23.12.2018","Guten Morgen ihr Frühaufsteher*innen! Mein Kaffee sieht komisch aus!","http://pbs.twimg.com/media/DvFDoSUWoAAwcVT.jpg","","kleiner Weihnachtsbaum","ja","","","","","","","","","","","","","","","","","","","",""
"1077075112975912960","https://twitter.com/datGestruepp/status/1077075112975912960","24.12.2018","Guten Morgen liebe Frühaufsteher*innen! Mein Kaffee... WAS ZUR HÖLLE!??","http://pbs.twimg.com/media/DvKKGY2XgAArfN2.jpg","","großer Weihnachtsbaum","ja","","","","","","","","","","","","","","","","","","","",""
"1077452995263107072","https://twitter.com/datGestruepp/status/1077452995263107072","25.12.2018","Guten Morgen liebe Frühaufsteher*innen! Heute den Kaffee gaaaaanz langsam und vor allem Lautlos genießen!!!","http://pbs.twimg.com/media/DvPhyLPWkAAjqJ2.jpg","","Suse genießt verschlafen einen Kaffee","ja","","","","","","","","","","","","","","","","","","","",""
"1077805229989609474","https://twitter.com/datGestruepp/status/1077805229989609474","26.12.2018","Morgähn! Es ist schon wieder Zeit! #krakeleiammorgen","http://pbs.twimg.com/media/DvUiIvrXcAAn3kO.jpg","","Kaffee-Infusion","ja","","","","","","","","","","","","","","","","","","","",""
"1078168613767516160","https://twitter.com/datGestruepp/status/1078168613767516160","27.12.2018","Guten Morgähn liebe Frühaufsteher*innen! Heute das letzte mal früh aufstehen! Ab morgen endlich wieder ausschlafen!! 😌","http://pbs.twimg.com/media/DvZsorxX0AA9wz5.jpg","","Suse in der Tasse","ja","","","","","","","","","","","","","","","","","","","",""
"1078561723009896449","https://twitter.com/datGestruepp/status/1078561723009896449","28.12.2018","Ausgeschlafen! 🤩 #krakeleiammorgen","http://pbs.twimg.com/media/DvfSKvQXcAIZHh_.jpg","","Kaffee im Bett","ja","","","","","","","","","","","","","","","","","","","",""
"1078931451587035136","https://twitter.com/datGestruepp/status/1078931451587035136","29.12.2018","Guten Morgen!  Mein Kaffee tut schon wieder Dinge... Es geht wohl auf Silvester zu.","http://pbs.twimg.com/media/DvkiaTNWoAAGigK.jpg","","Glücks-Schwein","ja","","","","","","","","","","","","","","","","","","","",""
"1079307858288742401","https://twitter.com/datGestruepp/status/1079307858288742401","30.12.2018","Guten Morgen! ♥️ Ich gewöhne mich langsam dran.","http://pbs.twimg.com/media/Dvp4wsUXQAAY0Lx.jpg","","Kleeblatt","ja","","","","","","","","","","","","","","","","","","","",""
"1079658683339030528","https://twitter.com/datGestruepp/status/1079658683339030528","31.12.2018","Ich will doch nur Kaffee!!!  #Kritzeleiammorgen","http://pbs.twimg.com/media/Dvu303uX0AEhv0j.jpg","","Feuerwerk","ja","","","","","","","","","","","","","","","","","","","",""
"1080033968521654272","https://twitter.com/datGestruepp/status/1080033968521654272","01.01.2019","Wie jetz... Nur Kaffee!?  #morgähn","http://pbs.twimg.com/media/Dv0NJ7yWkAAT8vf.jpg","","Nur Kaffee... und eine Katze","ja","","","","","","","","","","","","","","","","","","","",""
"1080383979998580737","https://twitter.com/datGestruepp/status/1080383979998580737","02.01.2019","Guten Morgen ihr hübschen und einen schönen Schmittwoch! ♥️","http://pbs.twimg.com/media/Dv5LfR9X4AA1VNA.jpg","","Kücken (@holyschmittens auf Twitter)","ja","","","","","","","","","","","","","","","","","","","",""
"1080747703993282560","https://twitter.com/datGestruepp/status/1080747703993282560","03.01.2019","Guten Morgen!  Poah! Jetzt gibt mir sogar der Kaffee „versteckte“ Hinweise! 😒  #Kritzelkaffee","http://pbs.twimg.com/media/Dv-WScjXQAs1X_z.jpg","","Kaffee fährt auf dem Fahrrad davon.","ja","","","","","","","","","","","","","","","","","","","",""
"1081082289466019845","https://twitter.com/datGestruepp/status/1081082289466019845","04.01.2019","Guten Morgen! Es ist Freitag und...  Was zum...?  #Kritzelkaffee","http://pbs.twimg.com/media/DwDGl_BXgAAe545.jpg","","Qualle","ja","","","","","","","","","","","","","","","","","","","",""
"1081458486708523008","https://twitter.com/datGestruepp/status/1081458486708523008","05.01.2019","Guten Morgen an alle Frühaufsteher*innen und gute Nacht an alle Gronkhzuschauer*innen! 😁  #Kritzelkaffee","http://pbs.twimg.com/media/DwIcvw-WkAAy0xr.jpg","","Lurch (Gronkh)","ja","","","","","","","","","","","","","","","","","","","",""
"1081827038795874304","https://twitter.com/datGestruepp/status/1081827038795874304","06.01.2019","Guten Morgen! *Phantasie anschalt*  #Kritzelkaffee","http://pbs.twimg.com/media/DwNr7_wWkAAT1HE.jpg","","Wal","ja","","","","","","","","","","","","","","","","","","","",""
"1082166376662515713","https://twitter.com/datGestruepp/status/1082166376662515713","07.01.2019","Guten Morgen! Ach ... Montag?  Findet mein Kaffee auch.  #Kritzelkaffee","http://pbs.twimg.com/media/DwSgke4WoAAW3LC.jpg","","Kaktus","ja","","","","","","","","","","","","","","","","","","","",""
"1082514799139979264","https://twitter.com/datGestruepp/status/1082514799139979264","08.01.2019","„I t‘s bigger on the inside!“

Was... bin ich schon aufgestanden... schlaf ich noch... irgendwo dazwischen?!

#Kritzelkaffee","http://pbs.twimg.com/media/DwXddI4WkAI7Ln2.jpg","","Eine Giraffe und ein Hinweis auf Dr. Who","ja","","","","","","","","","","","","","","","","","","","",""
"1082901669632004096","https://twitter.com/datGestruepp/status/1082901669632004096","09.01.2019","Guten Morgen ihr Lieben! Mir ist heut so flauschig! ♥️ #Kritzelkaffee","http://pbs.twimg.com/media/Dwc9UOkXgAQJYRp.jpg","","irgendeine Katze","ja","","","","","","","","","","","","","","","","","","","",""
"1083253945957527552","https://twitter.com/datGestruepp/status/1083253945957527552","10.01.2019","Guten Morgen!  Haltet euch bereit!!! #Kritzelkaffee","http://pbs.twimg.com/media/Dwh9tBMWsAAutHs.jpg","","Dementor","ja","Das war die erste ""bekannte Figur"" in einem Kritzelkaffee. ","","","","","","","","","","","","","","","","","","",""
"1083638639639359488","https://twitter.com/datGestruepp/status/1083638639639359488","11.01.2019","Guten Morgen! Endlich das Ende der...WAS!? ##Kritzelkaffee","http://pbs.twimg.com/media/DwnblcCWsAA_RrF.jpg","","Bilbo Beutlin (Herr der Ringe)","ja","","","","","","","","","","","","","","","","","","","",""
"1083990619876401153","https://twitter.com/datGestruepp/status/1083990619876401153","12.01.2019","Guten Morgen! Habt ihr auch so Hunger?  #Kritzelkaffee","http://pbs.twimg.com/media/DwsbtYrWwAE0P07.jpg","","Audrey II (Little Shop of Horror, Musical)","ja","","","","","","","","","","","","","","","","","","","",""
